"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2023","30.8500","30.9100","30.9499","30.8000","0.07K","0.00%"
"04/12/2023","30.8500","30.9000","30.9499","30.8000","0.05K","0.33%"
"04/11/2023","30.7500","30.9000","30.9499","30.8000","0.06K","-0.32%"
"04/10/2023","30.8500","30.9000","30.9499","30.8000","0.06K","0.00%"
"04/06/2023","30.8500","30.9000","30.9499","30.8000","0.06K","0.00%"
"04/05/2023","30.8500","30.9000","30.9599","30.8000","0.05K","0.00%"
"04/04/2023","30.8500","30.9000","30.9550","30.8000","0.06K","0.00%"
"04/03/2023","30.8500","30.8000","30.9499","30.8000","0.06K","0.33%"
"03/31/2023","30.7500","30.8000","30.8000","30.8000","","-0.32%"
"03/30/2023","30.8500","30.9000","30.9499","30.8000","0.06K","0.33%"
"03/29/2023","30.7500","30.9000","30.9499","30.8000","0.05K","-0.32%"
"03/28/2023","30.8500","30.9000","30.9499","30.8000","0.06K","0.00%"
"03/27/2023","30.8500","30.9000","30.9499","30.8000","0.04K","0.00%"
"03/24/2023","30.8500","30.9000","30.9000","30.9000","","-0.32%"
"03/23/2023","30.9499","30.9499","30.9499","30.8000","0.06K","0.32%"
"03/22/2023","30.8500","30.9000","30.9499","30.8000","0.07K","0.00%"
"03/21/2023","30.8500","30.9499","30.9499","30.9000","0.07K","0.00%"
"03/20/2023","30.8500","30.9000","30.9550","30.8000","0.11K","0.33%"
"03/16/2023","30.7500","30.9000","30.9550","30.8000","0.07K","-0.32%"
"03/15/2023","30.8500","30.9000","30.9499","30.8000","0.10K","0.00%"
"03/14/2023","30.8500","30.9000","30.9499","30.8000","0.07K","0.00%"
"03/13/2023","30.8500","30.9000","30.9499","30.8000","0.05K","0.00%"
"03/09/2023","30.8500","30.8800","30.9499","30.7800","0.15K","0.06%"
"03/08/2023","30.8300","30.7300","30.9300","30.7300","0.19K","0.49%"
"03/07/2023","30.6800","30.6800","30.8799","30.6550","0.15K","-0.49%"
"03/06/2023","30.8299","30.7050","30.8300","30.6200","0.13K","0.20%"
"03/02/2023","30.7699","30.5300","30.7799","30.5300","0.15K","0.62%"
"03/01/2023","30.5800","30.6150","30.6800","30.5300","0.08K","0.00%"
"02/28/2023","30.5800","30.6800","30.6800","30.5300","0.08K","0.00%"
"02/27/2023","30.5800","30.6150","30.6800","30.5300","0.07K","0.00%"
"02/23/2023","30.5800","30.6150","30.6800","30.5300","0.07K","0.00%"
"02/22/2023","30.5800","30.5850","30.6800","30.5000","0.15K","0.10%"
"02/21/2023","30.5500","30.5650","30.6500","30.4800","0.13K","0.07%"
"02/20/2023","30.5300","30.5550","30.6350","30.4700","0.16K","0.03%"
"02/18/2023","30.5200","30.5700","30.5700","30.5700","","0.00%"
"02/17/2023","30.5200","30.5550","30.5550","30.5550","","0.00%"
"02/16/2023","30.5200","30.5550","30.6199","30.4700","0.08K","0.00%"
"02/15/2023","30.5200","30.5550","30.6199","30.4700","0.09K","-0.13%"
"02/14/2023","30.5600","30.5350","30.6199","30.4500","0.15K","0.20%"
"02/13/2023","30.5000","30.5150","30.6000","30.4300","0.18K","0.16%"
"02/09/2023","30.4500","30.3550","30.5499","30.2700","0.30K","0.43%"
"02/08/2023","30.3200","30.2850","30.4200","30.2000","0.17K","0.23%"
"02/07/2023","30.2500","30.2850","30.3500","30.2000","0.10K","0.33%"
"02/06/2023","30.1500","30.2650","30.3500","30.1800","0.14K","-0.26%"
"02/04/2023","30.2300","30.2800","30.2800","30.2800","","0.00%"
"02/03/2023","30.2300","30.2800","30.2800","30.2650","0.00K","0.00%"
"02/02/2023","30.2300","30.2000","30.3300","30.1000","0.26K","0.27%"
"02/01/2023","30.1500","30.1650","30.2500","30.0650","0.17K","0.07%"
"01/31/2023","30.1300","30.0500","30.2649","29.9500","0.35K","0.20%"
"01/30/2023","30.0700","29.8900","30.1000","29.8300","0.18K","0.77%"
"01/27/2023","29.8400","29.8900","29.8900","29.8899","","0.00%"
"01/25/2023","29.8400","29.8900","29.9400","29.7900","0.15K","0.07%"
"01/24/2023","29.8200","29.8700","29.9400","29.7700","0.24K","0.00%"
"01/23/2023","29.8200","29.8400","29.9300","29.7400","0.31K","0.10%"
"01/19/2023","29.7900","29.5500","29.8950","29.5500","0.75K","0.64%"
"01/18/2023","29.6000","29.5800","29.7099","29.4800","0.63K","0.24%"
"01/17/2023","29.5300","29.6500","29.7750","29.4800","0.87K","-0.24%"
"01/16/2023","29.6000","29.5250","29.6925","29.3500","1.28K","0.34%"
"01/12/2023","29.5000","29.6500","30.6900","29.3500","2.93K","-0.51%"
"01/11/2023","29.6500","27.6500","32.2000","27.5500","3.39K","7.23%"
"01/10/2023","27.6500","27.5250","27.7299","27.4500","0.21K","0.36%"
"01/09/2023","27.5500","27.2250","27.7250","27.0500","0.54K","1.47%"
"01/05/2023","27.1500","26.5000","27.2500","26.2750","0.84K","2.84%"
"01/04/2023","26.4000","24.7350","26.6000","24.7050","1.89K","6.62%"
"01/03/2023","24.7600","24.7150","24.8200","24.6850","0.22K","0.36%"
"01/02/2023","24.6700","24.7200","24.7700","24.6800","0.11K","-0.28%"
"12/29/2022","24.7400","24.7300","24.7700","24.6800","0.11K","-0.12%"
"12/28/2022","24.7695","24.7250","24.7750","24.6650","0.17K","0.48%"
"12/27/2022","24.6500","24.6950","24.7500","24.6300","0.10K","-0.40%"
"12/26/2022","24.7495","24.6950","24.7500","24.6650","0.09K","0.00%"
"12/22/2022","24.7499","24.6650","24.7500","24.6650","0.09K","0.12%"
"12/21/2022","24.7200","24.6950","24.7500","24.6650","0.09K","0.28%"
"12/20/2022","24.6500","24.6950","24.7549","24.6550","0.11K","-0.28%"
"12/19/2022","24.7200","24.6700","24.7500","24.6300","0.17K","0.28%"
"12/15/2022","24.6500","24.6700","24.7199","24.6250","0.13K","-0.24%"
"12/14/2022","24.7100","24.6300","24.7199","24.5850","0.25K","0.32%"
"12/13/2022","24.6300","24.5950","24.6800","24.5850","0.13K","0.00%"
"12/12/2022","24.6300","24.5900","24.6800","24.5650","0.17K","0.33%"
"12/08/2022","24.5500","24.5950","24.6550","24.5650","0.14K","-0.37%"
